r_fighter,b_fighter,date,location,winner,titlebout,weightclass,b_age,b_stance,b_heightcms,b_reachcms,b_weightlbs,b_currentlosestreak,b_currentwinstreak,b_draws,b_longestwinstreak,b_wins,b_losses,b_winsbyko,b_winsbysubmission,b_winsbytkodoctorstoppage,b_totalroundsfought,b_totaltitlebouts,b_avgsigstrlanded,b_avgsigstrpct,b_avgsubatt,b_avgtdlanded,b_avgtdpct,r_age,r_stance,r_heightcms,r_reachcms,r_weightlbs,r_currentlosestreak,r_currentwinstreak,r_draws,r_longestwinstreak,r_wins,r_losses,r_winsbyko,r_winsbysubmission,r_winsbytkodoctorstoppage,r_totalroundsfought,r_totaltitlebouts,r_avgsigstrlanded,r_avgsigstrpct,r_avgsubatt,r_avgtdlanded,r_avgtdpct
Aaron Simpson,Kenny Robertson,2012-07-11,"San Jose, California, USA",Red,False,Welterweight,28.0,Orthodox,177.8,187.96,170.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,12.0,0.33,0.0,0.0,0.0,37.0,Orthodox,182.88,185.42,170.0,1.0,0.0,0.0,3.0,6.0,3.0,2.0,0.0,0.0,23.0,0.0,42.0,0.54,0.33,2.78,0.39
Chris Cariaso,Josh Ferguson,2012-07-11,"San Jose, California, USA",Red,False,Flyweight,24.0,Orthodox,165.1,167.64,125.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,34.0,0.58,0.0,0.0,0.0,31.0,Southpaw,160.02,160.02,125.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,12.0,0.0,50.0,0.49,0.25,0.75,0.23
Damacio Page,Alex Caceres,2012-07-11,"San Jose, California, USA",Blue,False,Bantamweight,24.0,Southpaw,177.8,185.42,145.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,9.0,0.0,43.0,0.5,2.0,0.25,0.25,29.0,Orthodox,167.64,167.64,135.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,20.0,0.37,0.5,0.5,0.12
James Te Huna,Joey Beltran,2012-07-11,"San Jose, California, USA",Red,False,Light Heavyweight,30.0,Orthodox,185.42,190.5,185.0,2.0,0.0,0.0,2.0,3.0,4.0,2.0,0.0,0.0,18.0,0.0,55.43,0.4,0.0,0.43,0.15,30.0,Orthodox,187.96,190.5,185.0,0.0,2.0,0.0,2.0,3.0,1.0,3.0,0.0,0.0,6.0,0.0,13.75,0.7,0.25,1.5,0.19
Karlos Vemola,Francis Carmont,2012-07-11,"San Jose, California, USA",Blue,False,Middleweight,30.0,Orthodox,190.5,198.12,205.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,39.5,0.8,0.5,2.5,0.75,27.0,Orthodox,182.88,190.5,185.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,9.0,0.0,14.5,0.38,1.0,1.0,0.38
Marcelo Guimaraes,Dan Stittgen,2012-07-11,"San Jose, California, USA",Red,False,Welterweight,31.0,Orthodox,185.42,180.0,170.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.36,0.0,0.0,0.0,29.0,Orthodox,182.88,185.42,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Mark Munoz,Chris Weidman,2012-07-11,"San Jose, California, USA",Blue,False,Middleweight,28.0,Orthodox,187.96,198.12,185.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,8.0,0.0,28.25,0.42,0.5,2.75,0.82,34.0,Orthodox,182.88,182.88,185.0,0.0,4.0,0.0,4.0,7.0,2.0,4.0,0.0,0.0,19.0,0.0,31.89,0.48,0.33,1.56,0.28
Rafael Dos Anjos,Anthony Njokuani,2012-07-11,"San Jose, California, USA",Red,False,Lightweight,32.0,Orthodox,185.42,190.5,155.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,12.0,0.0,76.25,0.46,0.25,0.75,0.42,27.0,Southpaw,172.72,177.8,170.0,0.0,1.0,0.0,3.0,5.0,4.0,1.0,2.0,0.0,22.0,0.0,22.56,0.35,1.0,1.56,0.26
Rafael Natal,Andrew Craig,2012-07-11,"San Jose, California, USA",Blue,False,Middleweight,26.0,Orthodox,185.42,193.04,170.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,36.0,0.45,0.0,1.0,0.5,29.0,Orthodox,182.88,193.04,185.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,12.0,0.0,30.0,0.42,0.5,3.25,0.3
Raphael Assuncao,Issei Tamura,2012-07-11,"San Jose, California, USA",Red,False,Bantamweight,28.0,Orthodox,165.1,160.02,135.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,15.0,0.62,0.0,1.0,0.5,29.0,Orthodox,165.1,167.64,135.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,31.0,0.48,0.0,1.5,0.18
TJ Dillashaw,Vaughan Lee,2012-07-11,"San Jose, California, USA",Red,False,Bantamweight,29.0,Orthodox,167.64,167.64,125.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,21.5,0.48,2.0,2.0,0.22,26.0,Orthodox,167.64,170.18,125.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,43.5,0.42,2.5,1.5,0.21
Anthony Perosh,Ryan Jimmo,2012-07-21,"Calgary, Alberta, Canada",Blue,False,Light Heavyweight,30.0,Orthodox,185.42,185.42,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,39.0,Orthodox,190.5,190.5,205.0,0.0,3.0,0.0,3.0,3.0,3.0,1.0,2.0,0.0,10.0,0.0,19.0,0.46,0.67,1.33,0.22
Antonio Carvalho,Daniel Pineda,2012-07-21,"Calgary, Alberta, Canada",Red,False,Featherweight,26.0,Orthodox,170.18,175.26,145.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,5.0,0.0,20.33,0.6,1.0,0.67,0.44,33.0,Orthodox,175.26,172.72,145.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,37.0,0.24,0.0,0.0,0.0
Brian Ebersole,James Head,2012-07-21,"Calgary, Alberta, Canada",Blue,False,Welterweight,28.0,Orthodox,185.42,185.42,170.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,25.5,0.5,0.5,0.0,0.0,31.0,Southpaw,182.88,185.42,170.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,10.0,0.0,28.25,0.64,0.25,2.0,0.26
Bryan Caraway,Mitch Gagnon,2012-07-21,"Calgary, Alberta, Canada",Red,False,Bantamweight,27.0,Southpaw,165.1,165.1,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27.0,Orthodox,172.72,172.72,135.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,23.0,0.43,1.0,3.0,1.0
Cheick Kongo,Shawn Jordan,2012-07-21,"Calgary, Alberta, Canada",Red,False,Heavyweight,27.0,Southpaw,182.88,190.5,260.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,64.0,0.56,0.0,0.0,0.0,37.0,Orthodox,193.04,208.28,240.0,1.0,0.0,0.0,3.0,10.0,6.0,6.0,0.0,1.0,33.0,0.0,33.25,0.57,0.19,1.5,0.45
Court McGee,Nick Ring,2012-07-21,"Calgary, Alberta, Canada",Blue,False,Middleweight,33.0,Southpaw,182.88,187.96,185.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,9.0,0.0,42.67,0.42,0.33,1.67,0.33,27.0,Orthodox,180.34,190.5,170.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,11.0,1.0,50.5,0.34,0.75,2.25,0.37
Hector Lombard,Tim Boetsch,2012-07-21,"Calgary, Alberta, Canada",Blue,False,Middleweight,31.0,Orthodox,182.88,187.96,185.0,0.0,3.0,0.0,3.0,6.0,3.0,3.0,0.0,0.0,21.0,0.0,30.44,0.51,0.56,1.67,0.24,34.0,Southpaw,175.26,180.34,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Mitch Clarke,Anton Kuivanen,2012-07-21,"Calgary, Alberta, Canada",Blue,False,Lightweight,28.0,Orthodox,172.72,182.88,155.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,38.0,0.33,0.0,0.0,0.0,26.0,Orthodox,177.8,185.42,155.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,17.0,0.12,0.0,0.0,0.0
Urijah Faber,Renan Barao,2012-07-21,"Calgary, Alberta, Canada",Blue,True,Bantamweight,25.0,Orthodox,167.64,177.8,135.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,7.0,0.0,62.33,0.41,0.33,2.0,0.28,33.0,Orthodox,167.64,170.18,135.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,10.0,1.0,45.0,0.44,0.33,1.33,0.46
Cole Miller,Nam Phan,2012-08-04,"Los Angeles, California, USA",Blue,False,Featherweight,29.0,Orthodox,167.64,177.8,135.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,12.0,0.0,82.5,0.41,0.25,0.25,0.25,28.0,Orthodox,185.42,187.96,145.0,1.0,0.0,0.0,2.0,7.0,4.0,1.0,5.0,0.0,22.0,0.0,23.0,0.33,1.82,0.36,0.13
Joe Lauzon,Jamie Varner,2012-08-04,"Los Angeles, California, USA",Red,False,Lightweight,27.0,Orthodox,172.72,182.88,155.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,5.0,0.0,15.0,0.42,0.67,4.0,0.87,28.0,Orthodox,177.8,180.34,155.0,1.0,0.0,0.0,3.0,8.0,4.0,2.0,6.0,0.0,19.0,0.0,11.0,0.44,1.67,1.33,0.44
John Moraga,Ulysses Gomez,2012-08-04,"Los Angeles, California, USA",Red,False,Flyweight,29.0,Orthodox,167.64,167.64,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28.0,Orthodox,167.64,167.64,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Josh Grispi,Rani Yahya,2012-08-04,"Los Angeles, California, USA",Blue,False,Featherweight,27.0,Orthodox,167.64,170.18,135.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,27.5,0.42,1.0,1.5,0.14,23.0,Orthodox,180.34,187.96,145.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,13.5,0.38,1.0,3.0,0.51
Lyoto Machida,Ryan Bader,2012-08-04,"Los Angeles, California, USA",Red,False,Light Heavyweight,29.0,Orthodox,187.96,187.96,205.0,0.0,2.0,0.0,5.0,7.0,2.0,3.0,0.0,0.0,20.0,1.0,25.78,0.37,0.22,2.22,0.28,34.0,Southpaw,185.42,187.96,185.0,1.0,0.0,0.0,8.0,9.0,3.0,3.0,1.0,0.0,30.0,4.0,34.83,0.57,0.67,1.0,0.39
Manvel Gamburyan,Michihiro Omigawa,2012-08-04,"Los Angeles, California, USA",Red,False,Featherweight,36.0,Orthodox,167.64,172.72,145.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,18.0,0.0,29.33,0.4,1.33,1.33,0.44,31.0,Orthodox,165.1,170.18,135.0,4.0,0.0,0.0,2.0,2.0,5.0,0.0,2.0,0.0,14.0,1.0,14.14,0.4,0.57,1.14,0.18
Mauricio Rua,Brandon Vera,2012-08-04,"Los Angeles, California, USA",Red,False,Light Heavyweight,34.0,Orthodox,190.5,193.04,230.0,0.0,1.0,0.0,4.0,8.0,6.0,4.0,1.0,0.0,30.0,0.0,28.21,0.56,0.07,0.5,0.32,30.0,Orthodox,185.42,193.04,205.0,1.0,0.0,0.0,2.0,4.0,4.0,4.0,0.0,0.0,22.0,3.0,41.38,0.51,0.38,1.38,0.18
Mike Swick,DaMarques Johnson,2012-08-04,"Los Angeles, California, USA",Red,False,Welterweight,30.0,Orthodox,185.42,190.5,170.0,1.0,0.0,0.0,2.0,4.0,4.0,2.0,2.0,0.0,13.0,1.0,14.5,0.42,0.38,0.38,0.19,33.0,Orthodox,185.42,195.58,170.0,2.0,0.0,0.0,5.0,9.0,3.0,4.0,2.0,0.0,24.0,0.0,20.0,0.45,0.42,0.58,0.28
Philip De Fries,Oli Thompson,2012-08-04,"Los Angeles, California, USA",Red,False,Heavyweight,32.0,Orthodox,185.42,190.5,242.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,29.0,0.46,1.0,0.0,0.0,26.0,Orthodox,195.58,208.28,250.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,10.5,0.49,0.0,1.5,0.3
Benson Henderson,Frankie Edgar,2012-08-11,"Denver, Colorado, USA",Red,True,Lightweight,30.0,Orthodox,167.64,172.72,145.0,1.0,0.0,0.0,5.0,9.0,3.0,2.0,1.0,0.0,42.0,5.0,58.42,0.43,0.33,3.33,0.29,28.0,Southpaw,175.26,177.8,170.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,1.0,62.0,0.42,1.25,3.25,0.76
Dennis Bermudez,Tommy Hayden,2012-08-11,"Denver, Colorado, USA",Red,False,Featherweight,26.0,Southpaw,175.26,182.88,145.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.33,0.0,2.0,0.66,25.0,Orthodox,167.64,167.64,155.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,35.0,0.42,0.5,4.5,0.94
Donald Cerrone,Melvin Guillard,2012-08-11,"Denver, Colorado, USA",Red,False,Lightweight,29.0,Orthodox,175.26,172.72,155.0,0.0,1.0,0.0,5.0,11.0,6.0,6.0,0.0,1.0,28.0,0.0,18.29,0.41,0.06,0.82,0.37,29.0,Orthodox,185.42,185.42,155.0,0.0,1.0,0.0,4.0,5.0,1.0,1.0,2.0,0.0,13.0,0.0,57.5,0.49,0.33,0.67,0.18
Dustin Pague,Chico Camus,2012-08-11,"Denver, Colorado, USA",Blue,False,Bantamweight,27.0,Orthodox,167.64,167.64,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,Orthodox,175.26,187.96,135.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,5.0,0.0,16.67,0.47,0.33,0.33,0.33
Jared Hamman,Michael Kuiper,2012-08-11,"Denver, Colorado, USA",Blue,False,Middleweight,23.0,Orthodox,182.88,185.42,185.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,30.0,0.48,0.0,0.0,0.0,30.0,Orthodox,190.5,190.5,185.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,10.0,0.0,43.2,0.4,0.0,0.4,0.2
Justin Lawrence,Max Holloway,2012-08-11,"Denver, Colorado, USA",Blue,False,Featherweight,20.0,Orthodox,180.34,175.26,155.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,64.5,0.39,0.0,0.0,0.0,22.0,Orthodox,172.72,170.18,145.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,54.0,0.34,0.0,1.0,0.33
Ken Stone,Erik Perez,2012-08-11,"Denver, Colorado, USA",Blue,False,Bantamweight,22.0,Orthodox,172.72,172.72,135.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,18.0,0.69,1.0,0.0,0.0,29.0,Orthodox,172.72,180.34,135.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,5.0,0.0,29.33,0.51,0.33,0.67,0.33
Nik Lentz,Eiji Mitsuoka,2012-08-11,"Denver, Colorado, USA",Red,False,Featherweight,36.0,Southpaw,170.18,173.0,145.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,32.0,0.48,1.0,1.0,0.25,27.0,Orthodox,172.72,172.72,155.0,3.0,0.0,0.0,4.0,5.0,4.0,0.0,1.0,0.0,25.0,0.0,39.44,0.49,1.78,3.0,0.31
Yushin Okami,Buddy Roberts,2012-08-11,"Denver, Colorado, USA",Red,False,Middleweight,29.0,Orthodox,187.96,193.0,185.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,35.0,0.31,0.0,0.0,0.0,31.0,Southpaw,187.96,190.5,170.0,2.0,0.0,0.0,4.0,10.0,4.0,3.0,0.0,1.0,39.0,1.0,28.86,0.4,0.57,1.43,0.4
Cub Swanson,Charles Oliveira,2012-09-22,"Toronto, Ontario, Canada",Red,False,Featherweight,22.0,Orthodox,177.8,187.96,155.0,0.0,2.0,0.0,2.0,4.0,3.0,0.0,4.0,0.0,11.0,0.0,18.86,0.52,1.29,0.71,0.32,28.0,Orthodox,172.72,177.8,145.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,6.0,0.0,35.0,0.49,0.33,1.0,0.67
Igor Pokrajac,Vinny Magalhaes,2012-09-22,"Toronto, Ontario, Canada",Blue,False,Light Heavyweight,28.0,Orthodox,190.5,200.66,205.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,19.0,0.21,0.0,1.0,0.33,33.0,Orthodox,182.88,193.04,205.0,0.0,3.0,0.0,3.0,4.0,3.0,2.0,1.0,0.0,15.0,0.0,22.43,0.48,0.14,0.86,0.27
Jimy Hettes,Marcus Brimage,2012-09-22,"Toronto, Ontario, Canada",Blue,False,Featherweight,27.0,Southpaw,162.56,180.34,135.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,56.0,0.3,0.0,0.5,0.5,25.0,Southpaw,175.26,180.34,145.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,41.5,0.49,2.0,8.0,0.55
Jon Jones,Vitor Belfort,2012-09-22,"Toronto, Ontario, Canada",Red,True,Light Heavyweight,35.0,Southpaw,182.88,187.96,185.0,0.0,2.0,0.0,3.0,10.0,5.0,7.0,2.0,1.0,21.0,4.0,9.8,0.52,0.47,0.4,0.18,25.0,Orthodox,193.04,213.36,205.0,0.0,7.0,0.0,7.0,10.0,1.0,3.0,4.0,0.0,27.0,4.0,42.45,0.55,0.64,2.0,0.64
Joseph Benavidez,Demetrious Johnson,2012-09-22,"Toronto, Ontario, Canada",Blue,True,Flyweight,26.0,Orthodox,160.02,167.64,125.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,17.0,1.0,55.8,0.47,0.0,3.6,0.41,28.0,Southpaw,162.56,165.1,125.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,8.0,0.0,44.0,0.4,0.33,2.0,0.16
Kyle Noke,Charlie Brenneman,2012-09-22,"Toronto, Ontario, Canada",Red,False,Welterweight,31.0,Orthodox,177.8,182.88,155.0,1.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,16.0,0.0,15.29,0.53,0.0,2.71,0.37,32.0,Southpaw,185.42,193.04,170.0,2.0,0.0,0.0,3.0,3.0,2.0,1.0,2.0,0.0,9.0,0.0,25.4,0.62,0.8,1.6,0.5
Matt Hamill,Roger Hollett,2012-09-22,"Toronto, Ontario, Canada",Red,False,Light Heavyweight,33.0,Orthodox,180.34,177.8,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,35.0,Orthodox,185.42,193.04,205.0,2.0,0.0,0.0,5.0,9.0,4.0,5.0,0.0,0.0,28.0,0.0,31.31,0.4,0.0,1.69,0.42
Michael Bisping,Brian Stann,2012-09-22,"Toronto, Ontario, Canada",Red,False,Middleweight,31.0,Orthodox,185.42,187.96,205.0,0.0,1.0,0.0,3.0,6.0,3.0,3.0,1.0,0.0,19.0,0.0,25.89,0.43,0.33,0.0,0.0,33.0,Orthodox,185.42,190.5,185.0,1.0,0.0,0.0,4.0,12.0,4.0,8.0,0.0,0.0,37.0,1.0,48.5,0.42,0.31,1.38,0.4
Mitch Gagnon,Walel Watson,2012-09-22,"Toronto, Ontario, Canada",Red,False,Bantamweight,28.0,Orthodox,180.34,175.26,135.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,22.33,0.31,1.0,0.0,0.0,27.0,Southpaw,165.1,165.1,135.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,27.0,0.41,0.0,1.0,0.2
Sean Pierson,Lance Benoist,2012-09-22,"Toronto, Ontario, Canada",Red,False,Welterweight,24.0,Southpaw,180.34,185.42,170.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,37.0,0.56,0.0,2.0,0.38,36.0,Southpaw,182.88,193.04,170.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,47.0,0.32,0.5,0.5,0.21
Seth Baczynski,Simeon Thoresen,2012-09-22,"Toronto, Ontario, Canada",Red,False,Welterweight,28.0,Orthodox,185.42,200.66,170.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,37.0,0.55,3.0,1.0,0.25,30.0,Orthodox,190.5,187.96,170.0,0.0,3.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,10.0,0.0,26.25,0.39,1.25,0.5,0.1
TJ Grant,Evan Dunham,2012-09-22,"Toronto, Ontario, Canada",Red,False,Lightweight,30.0,Southpaw,177.8,177.8,155.0,0.0,2.0,0.0,4.0,6.0,2.0,1.0,1.0,1.0,19.0,0.0,44.75,0.39,1.5,1.25,0.43,28.0,Orthodox,177.8,182.88,155.0,0.0,2.0,0.0,2.0,5.0,3.0,1.0,1.0,0.0,22.0,0.0,33.25,0.51,0.62,1.75,0.42
Andy Ogle,Akira Corassani,2012-09-29,"Nottingham, England, United Kingdom",Blue,False,Featherweight,30.0,Orthodox,172.72,172.72,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23.0,Orthodox,172.72,175.26,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Brad Pickett,Yves Jabouin,2012-09-29,"Nottingham, England, United Kingdom",Red,False,Bantamweight,33.0,Orthodox,170.18,172.72,135.0,0.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,34.0,0.42,0.0,1.0,0.16,34.0,Orthodox,167.64,172.72,135.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,23.0,0.35,0.5,2.0,0.4
Che Mills,Duane Ludwig,2012-09-29,"Nottingham, England, United Kingdom",Red,False,Welterweight,34.0,Orthodox,177.8,177.8,170.0,2.0,0.0,0.0,2.0,4.0,4.0,1.0,0.0,0.0,14.0,0.0,38.12,0.46,0.0,0.12,0.06,30.0,Orthodox,185.42,193.04,170.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,8.5,0.48,0.0,0.0,0.0
DaMarques Johnson,Gunnar Nelson,2012-09-29,"Nottingham, England, United Kingdom",Blue,False,Catch Weight,24.0,Switch,180.34,182.88,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.0,Orthodox,185.42,190.5,170.0,2.0,0.0,0.0,2.0,4.0,5.0,2.0,2.0,0.0,15.0,1.0,14.78,0.41,0.33,0.56,0.28
Dan Hardy,Amir Sadollah,2012-09-29,"Nottingham, England, United Kingdom",Red,False,Welterweight,32.0,Orthodox,177.8,187.96,170.0,0.0,1.0,0.0,2.0,6.0,3.0,1.0,1.0,0.0,22.0,1.0,57.56,0.42,0.33,0.56,0.26,30.0,Orthodox,182.88,187.96,170.0,0.0,1.0,0.0,4.0,5.0,4.0,2.0,0.0,0.0,23.0,1.0,26.56,0.34,0.33,0.33,0.19
Jason Young,Robert Peralta,2012-09-29,"Nottingham, England, United Kingdom",Blue,False,Featherweight,26.0,Orthodox,172.72,180.34,145.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,59.5,0.48,0.0,0.5,0.5,26.0,Orthodox,175.26,185.42,145.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,9.0,0.0,44.33,0.38,0.0,2.0,0.44
John Hathaway,John Maguire,2012-09-29,"Nottingham, England, United Kingdom",Red,False,Welterweight,29.0,Southpaw,175.26,175.26,155.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,16.5,0.78,1.5,4.5,0.83,25.0,Orthodox,185.42,190.5,170.0,0.0,2.0,0.0,4.0,6.0,1.0,1.0,0.0,0.0,19.0,0.0,48.86,0.43,1.0,2.71,0.39
Kyle Kingsbury,Jimi Manuwa,2012-09-29,"Nottingham, England, United Kingdom",Blue,False,Light Heavyweight,32.0,Orthodox,185.42,200.66,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.0,Orthodox,193.04,193.04,205.0,2.0,0.0,0.0,4.0,4.0,3.0,1.0,0.0,0.0,17.0,0.0,36.29,0.44,0.0,2.29,0.2
Paul Sass,Matt Wiman,2012-09-29,"Nottingham, England, United Kingdom",Blue,False,Lightweight,29.0,Orthodox,177.8,172.72,155.0,0.0,1.0,0.0,4.0,8.0,4.0,2.0,2.0,0.0,28.0,0.0,36.17,0.49,1.33,2.0,0.48,24.0,Orthodox,182.88,185.42,155.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,1.67,0.29,3.0,0.0,0.0
Stefan Struve,Stipe Miocic,2012-09-29,"Nottingham, England, United Kingdom",Red,False,Heavyweight,30.0,Orthodox,193.04,203.2,240.0,0.0,3.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,6.0,0.0,36.0,0.44,0.0,2.0,0.52,24.0,Orthodox,210.82,213.36,265.0,0.0,3.0,0.0,3.0,8.0,3.0,3.0,4.0,0.0,17.0,0.0,16.55,0.44,1.64,0.27,0.27
Tom Watson,Brad Tavares,2012-09-29,"Nottingham, England, United Kingdom",Blue,False,Middleweight,24.0,Orthodox,185.42,187.96,185.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,10.0,0.0,23.0,0.46,0.0,1.5,0.35,30.0,Orthodox,185.42,185.42,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Aaron Simpson,Mike Pierce,2012-10-05,"Minneapolis, Minnesota, USA",Blue,False,Welterweight,32.0,Orthodox,172.72,177.8,170.0,0.0,1.0,0.0,3.0,6.0,3.0,1.0,1.0,0.0,26.0,0.0,39.44,0.48,0.33,2.67,0.39,38.0,Orthodox,182.88,185.42,170.0,0.0,1.0,0.0,3.0,7.0,3.0,2.0,0.0,0.0,26.0,0.0,42.6,0.55,0.3,3.1,0.39
